elapsedTime;nombre;et_x;et_y;et_z;et_pixel_uv_x;et_pixel_uv_y;head_pose_x;head_pose_y;head_pose_z;head_euler_x;head_euler_y;head_euler_z;head_quat_xyzw;Eye_Right_Blink;Eye_Left_Blink
21.1510;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8222;-1.8439;0.1795527;0.1450278;-0.4278;1.6225;-1.2951;9.1669;269.2871;0.7916;(.0513, -.7096, .0617, .7000);0.0000;0.0000
21.1730;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8217;-1.8449;0.1790081;0.144738;-0.4278;1.6225;-1.2952;9.1729;269.2717;0.8150;(.0511, -.7097, .0619, .6999);0.0000;0.0000
21.1960;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8143;-1.8483;0.1769581;0.140327;-0.4278;1.6223;-1.2953;9.1993;269.2659;0.8599;(.0510, -.7097, .0623, .6999);0.0000;0.0000
21.2180;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8103;-1.8445;0.1792481;0.1379152;-0.4279;1.6223;-1.2954;9.2183;269.2540;0.9327;(.0507, -.7098, .0629, .6997);0.0000;0.0000
21.2410;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8115;-1.8540;0.1735124;0.13865;-0.4281;1.6224;-1.2955;9.2266;269.2602;0.9500;(.0506, -.7098, .0630, .6998);0.0000;0.0000
21.2630;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8125;-1.8509;0.1753931;0.1392053;-0.4282;1.6224;-1.2956;9.2631;269.2819;0.8946;(.0512, -.7096, .0629, .6999);0.0000;0.0000
21.2850;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8101;-1.8494;0.1762821;0.1377975;-0.4283;1.6223;-1.2957;9.2935;269.2568;0.8904;(.0514, -.7098, .0631, .6997);0.0000;0.0000
21.3070;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8152;-1.8467;0.1778861;0.1408443;-0.4283;1.6223;-1.2958;9.3118;269.2322;0.9551;(.0511, -.7099, .0636, .6995);0.0000;0.0000
21.3300;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8141;-1.8407;0.1814714;0.1401783;-0.4283;1.6222;-1.2958;9.3002;269.2405;1.0073;(.0507, -.7099, .0639, .6996);0.0000;0.0000
21.3510;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8110;-1.8411;0.1812355;0.1383027;-0.4283;1.6222;-1.2959;9.3340;269.2317;1.0096;(.0509, -.7099, .0641, .6995);0.0000;0.0000
21.3740;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8076;-1.8365;0.1839997;0.1362963;-0.4283;1.6222;-1.2960;9.3776;269.2273;1.0240;(.0511, -.7100, .0644, .6994);0.0000;0.0000
21.3990;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8142;-1.8336;0.185724;0.1402186;-0.4282;1.6222;-1.2959;9.4063;269.2002;1.0718;(.0509, -.7101, .0649, .6992);0.0000;0.0000
21.4200;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;0.8163;-1.8370;0.1836925;0.1415113;-0.4282;1.6222;-1.2959;9.4296;269.1791;1.0766;(.0510, -.7103, .0651, .6991);0.0000;0.0000
