elapsedTime;nombre;et_x;et_y;deep
1.0510;Scene/Escenario/PanelesExteriores/Cube (1);-151.93;448.36;12.81;
1.0740;Scene/Escenario/PanelesExteriores/Cube (1);-156.78;448.38;12.68;
1.0950;Scene/Escenario/PanelesExteriores/Cube (1);-154.01;448.49;12.75;
1.1170;Scene/Escenario/PanelesExteriores/Cube (1);-152.84;447.57;12.78;
1.1400;Scene/Escenario/PanelesExteriores/Cube (1);-151.34;449.04;12.83;
1.1630;Scene/Escenario/PanelesExteriores/Cube (1);-148.48;447.97;12.90;
1.1850;Scene/Escenario/PanelesExteriores/Cube (1);-125.55;451.54;13.56;
1.2070;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;117.60;457.21;3.07;
1.2300;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;202.24;451.52;3.16;
1.2510;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;160.16;451.28;3.11;
1.2740;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;136.96;455.25;3.09;
1.2960;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;175.93;448.15;3.13;
1.3180;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;176.09;449.96;3.13;
1.3400;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;178.02;449.66;3.13;
1.3640;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;172.79;452.79;3.13;
1.3850;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;171.03;454.92;3.13;
1.4070;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;173.54;455.56;3.13;
1.4300;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;172.18;455.96;3.13;
1.4520;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;178.59;452.31;3.13;
1.4730;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;216.95;454.65;3.17;
1.4960;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;244.49;458.43;3.20;
1.5160;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;259.73;456.04;3.22;
1.5380;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;293.85;457.32;3.25;
1.5610;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;275.55;456.61;3.23;
1.5840;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;275.27;456.00;3.23;
1.6040;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;274.84;454.75;3.23;
1.6270;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;275.98;454.20;3.23;
1.6490;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;276.57;453.96;3.23;
1.6720;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;276.52;453.96;3.23;
