elapsedTime;nombre;et_x;et_y;et_z;et_pixel_uv_x;et_pixel_uv_y;head_pose_x;head_pose_y;head_pose_z;head_euler_x;head_euler_y;head_euler_z
2.4820;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3498;-1.3344;0.4850411;0.4613798;-0.4139;1.6283;-1.2988;6.2200;269.2017;0.8216
2.5050;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3504;-1.3337;0.4854797;0.4617386;-0.4136;1.6284;-1.2987;6.2083;269.2158;0.8216
2.5280;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3529;-1.3339;0.485344;0.4632183;-0.4133;1.6285;-1.2986;6.1531;269.2075;0.8209
2.5490;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3539;-1.3338;0.4854263;0.4638187;-0.4131;1.6284;-1.2985;6.1303;269.2090;0.7806
2.5720;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3541;-1.3333;0.4857174;0.4639603;-0.4129;1.6285;-1.2984;6.1253;269.2182;0.7309
2.5940;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3551;-1.3334;0.4856752;0.4645293;-0.4127;1.6285;-1.2983;6.1031;269.2149;0.7070
2.6160;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3547;-1.3335;0.4856068;0.4643013;-0.4125;1.6284;-1.2983;6.1108;269.2111;0.7141
2.6380;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3542;-1.3341;0.4852263;0.4640135;-0.4123;1.6285;-1.2983;6.1214;269.1967;0.7110
2.6600;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3538;-1.3337;0.4854753;0.4637717;-0.4122;1.6284;-1.2982;6.1289;269.2046;0.6957
2.6820;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3522;-1.3345;0.4850044;0.4628235;-0.4120;1.6284;-1.2982;6.1638;269.1880;0.6906
2.7050;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3535;-1.3349;0.4847667;0.4635688;-0.4119;1.6284;-1.2982;6.1351;269.1793;0.7030
2.7260;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3545;-1.3343;0.4851126;0.4641735;-0.4119;1.6283;-1.2984;6.1120;269.1949;0.7027
2.7490;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3555;-1.3340;0.4852835;0.4647528;-0.4119;1.6283;-1.2984;6.0896;269.2027;0.6841
2.7710;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3537;-1.3335;0.4855956;0.4636801;-0.4117;1.6283;-1.2984;6.1285;269.2150;0.6778
2.7930;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3509;-1.3326;0.486113;0.4620146;-0.4117;1.6282;-1.2985;6.1870;269.2348;0.6810
2.8160;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3484;-1.3322;0.4863947;0.4604924;-0.4116;1.6281;-1.2985;6.2412;269.2453;0.7089
2.8380;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3485;-1.3314;0.4868625;0.4605839;-0.4115;1.6281;-1.2985;6.2380;269.2631;0.7490
2.8610;Scene/Paneles_Numericos/EPVR_Ele_CuboConLuces/EPVR_Ele_CuboEyeTracking1;-2.9690;1.3487;-1.3293;0.4881284;0.4607154;-0.4114;1.6281;-1.2985;6.2329;269.3102;0.8048
